graph,ff 50,ff 30,ff 15,ff 05,re 50,re 30,re 15,re 05,rw 50,rw 30,rw 15,rw 05
actor-collaboration,0.2185724399,0.2199242527,0.1469186787,0.1683807014,0.6719164666,0.7969164666,0.6064402761,0.8449387085,0.5524720221,0.7725262227,0.5112021809,0.7380929372
arenas-jazz,0.1948153967,0.1294953802,0.1428571429,0.2727272727,0.7562189055,0.8955223881,0.7562189055,0.8258706468,0.6036484245,0.6133617626,0.6133617626,0.8258706468
as-caida20071105,0.0459292423,0.0377608276,0.0129199946,0.0236808357,0.0703902061,0.1305818433,0.1710538419,0.4716325077,0.0454047311,0.0885391433,0.1565126943,0.2729800409
as-skitter,0.0341246673,0.0288197178,0.0086723775,0.0141875815,0.1076648624,0.1711588315,0.2726478325,0.4762339732,0.102562568,0.1531605314,0.2275937245,0.4084661308
ca-AstroPh,0.3309610763,0.2601038811,0.1612617913,0.0813525726,0.5878630784,0.6686323092,0.8186323092,0.8186323092,0.6834971741,0.6936323092,0.500450491,0.6186323092
ca-cit-HepPh,0.0691567369,0.104424039,0.1238897733,0.1295244772,0.5320060538,0.8808432631,0.8808432631,0.8979529484,0.5857033584,0.7955679619,0.9119054894,0.8808432631
ca-cit-HepTh,0.0436649518,0.0862105421,0.0866634961,0.0815287451,0.5399960003,0.7835857438,0.7231461834,0.9374318977,0.4828864431,0.6728900734,0.7374318977,0.9619774044
cfinder-google,0.028405264,0.0792997051,0.0909839012,0.2619684804,0.0526785427,0.1075021577,0.2187061711,0.4190167301,0.0205586495,0.029023759,0.0670566601,0.138087883
chess,0.1892225422,0.2205030896,0.2460676578,0.4010055304,0.3753846154,0.5158371041,0.3778280543,0.4470588235,0.3753980225,0.4024321267,0.3965446318,0.3116515837
cit-Patents,0.106267861,0.2196236971,0.1206914553,0.1149228018,0.2852208395,0.3327455919,0.3592026405,0.6284634761,0.2620389886,0.2380877414,0.1339210747,0.0943730521
com-amazon.ungraph,0.0989478114,0.1643483023,0.2177973568,0.2170513424,0.2818181818,0.1818181818,0.3003367003,0.3818181818,0.0775418994,0.2492094862,0.4068181818,0.6513833992
com-amazon,0.2134790045,0.3502034997,0.2723425826,0.2222282198,0.3084008956,0.4667197452,0.6417197452,0.5583864119,0.054009133,0.2748973153,0.3478600961,0.5717197452
com-dblp.ungraph,0.1418961464,0.152513276,0.1851499674,0.1403338773,0.2529069767,0.3917958656,0.4314784053,0.5658914729,0.1668337343,0.311417615,0.5726744186,0.4119978858
com-dblp,0.3353287641,0.4178365633,0.3158126133,0.3696901643,0.5491574766,0.580133514,0.7874818049,0.7525473071,0.5400473071,0.5368610326,0.7125473071,0.6999157282
com-lj,0.0098502602,0.0106581356,0.0203314026,0.0265363513,0.0858009869,0.2018062541,0.2638450094,0.465972669,0.0784131116,0.0798706634,0.1780440297,0.296695138
com-orkut,0.0406160935,0.0367997281,0.0479162958,0.0654438124,0.3679009271,0.448321392,0.7704430732,0.8307341335,0.2593070104,0.4456757071,0.4204777232,0.6200317924
com-youtube.ungraph,0.0163196596,0.0149874175,0.0106893816,0.0219098368,0.0169337607,0.0515271904,0.082350874,0.1414559816,0.031811025,0.05337132,0.0871096587,0.1328173945
com-youtube,0.0248388296,0.0237405213,0.0120878032,0.0097318024,0.0340165333,0.0616355669,0.0968244783,0.1555542075,0.0332219454,0.0532172414,0.0816910731,0.1463906736
contiguous-usa,0.6470588235,0.5220588235,0.4803921569,0.6323529412,0.7647058824,0.7647058824,0.8823529412,0.7647058824,0.3393665158,0.3393665158,0.3137254902,1
dblp_coauthor,0.1868946199,0.2458934373,0.2151351096,0.1008228442,0.404923383,0.6025319138,0.6571018062,0.9073891626,0.3700818814,0.4253116828,0.628370463,0.5136807536
dbpedia-link,0.0045063208,0.0212080404,0.0486396975,0.1086390306,0.009144187,0.019357988,0.0393064491,0.0796832827,0.012193808,0.0207166021,0.0332820756,0.0656316266
digg-friends,0.2581701336,0.5994547077,0.5069446762,0.3276877982,0.0379384434,0.0656834091,0.1286677142,0.2584437626,0.0748151756,0.0653183249,0.0510299012,0.0205000255
dolphins,0.34,0.1933333333,0.2533333333,0.2,0.75,0.56,0.6666666667,0.8,0.34,0.4171428571,0.2742857143,0.72
douban,0.3755334381,0.3572987974,0.3520282498,0.3244720497,0.4409867407,0.589109052,0.5930434783,0.7530434783,0.5353564034,0.570116649,0.5130434783,0.5594950912
ego-gplus,0.0291601552,0.0189860459,0.0295012879,0.0235930736,0.0641788477,0.0922028755,0.204294828,0.4069264069,0.3618326118,0.5576356268,0.7699207572,0.895021645
ego-twitter,0.0443181818,0.1227272727,0.2002994012,0.2469072165,0.3103291317,0.3208333333,0.6083333333,0.5708333333,0.2685344828,0.1736788618,0.1855769231,0.475
elec,0.035153854,0.0443277181,0.0708521959,0.0963225701,0.4243294713,0.3738176778,0.5404843444,0.8938356164,0.3416625477,0.5367249459,0.1666241621,0.7011986301
email-Enron,0.1984570629,0.0487956957,0.0543742965,0.079780654,0.3578138497,0.5092605326,0.5451897362,0.9251897362,0.0240050517,0.0515720427,0.127669075,0.1669479779
email-EuAll,0.1495161139,0.2636021746,0.2895376753,0.2134476685,0.0241110103,0.0685258829,0.1514099543,0.2573277287,0.0063941308,0.0768890157,0.1220078818,0.2305248398
enron,0.1277516057,0.1212238025,0.0795368462,0.0694022523,0.1704510262,0.3299972767,0.4237472767,0.6922657952,0.2025080208,0.1383740221,0.056892454,0.2272752572
facebook_combined,0.1368173655,0.1365654029,0.1303160423,0.2022388833,0.3949968133,0.6578173261,0.5116634799,0.8116634799,0.2319623834,0.2668537593,0.3616634799,0.8422562141
facebook-wosn-links,0.1975490807,0.1037923378,0.0589812668,0.0810881471,0.5738734638,0.6876097276,0.8661811561,0.8907601274,0.5676736934,0.6030232614,0.5478683053,0.6661811561
flickr-growth,0.0528707553,0.0256341838,0.0511103912,0.0554328912,0.0711446517,0.1611540871,0.2993268523,0.545550234,0.0180954182,0.1000899489,0.1621426131,0.2413436147
flickr-links,0.0730621208,0.0590675918,0.033128449,0.0295749432,0.1084339385,0.1538587469,0.2205375102,0.4559301737,0.0895027287,0.1415581217,0.1852226691,0.2965098839
flickrEdges,0.1550091555,0.1462824526,0.1444867485,0.3487782561,0.1862457372,0.2461171917,0.3584852158,0.9350290296,0.0456927016,0.087746151,0.1529248586,0.2785199833
flixster,0.5528598579,0.5640411103,0.4141955127,0.3328385083,0.4914809625,0.5409022566,0.6345398659,0.6818291915,0.4199419599,0.5103028989,0.5249143356,0.4575110207
foldoc,0.2519320309,0.307226379,0.4261288181,0.5171152126,0.2770821476,0.6536929206,0.8844621514,0.8844621514,0.2883083052,0.4177954847,0.5273192943,0.8844621514
hyves,0.0172244887,0.0161197715,0.0130275327,0.0192814072,0.0190754661,0.0248999658,0.0340997161,0.0587533888,0.0108435852,0.0137193641,0.0204972729,0.0365949264
