bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
cit-Patents.txt,1,,2,,3,,4,,5,
graph,edge-list,29634200,rev-edge-list,34805500,vertex-pull,54851800,vertex-push,6721680,vertex-push-warp,39269700
ff 50,edge-list,7743960,rev-edge-list,8680330,vertex-pull,14210000,vertex-push,3100640,vertex-push-warp,17986700
ff 30,edge-list,4370540,rev-edge-list,4803120,vertex-pull,8015560,vertex-push,2003020,vertex-push-warp,11413200
ff 15,edge-list,2015200,rev-edge-list,2164600,vertex-pull,3655800,vertex-push,1070490,vertex-push-warp,5923340
ff 05,edge-list,663989,rev-edge-list,703630,vertex-pull,1189110,vertex-push,416578,vertex-push-warp,2135040
re 50,edge-list,3454550,rev-edge-list,3749480,vertex-pull,9329020,vertex-push,3401310,vertex-push-warp,19728400
re 30,edge-list,1590270,rev-edge-list,1637810,vertex-pull,4846310,vertex-push,2072100,vertex-push-warp,11892800
re 15,edge-list,718720,rev-edge-list,713476,vertex-pull,2241600,vertex-push,1073620,vertex-push-warp,5985380
re 05,edge-list,286799,rev-edge-list,273800,vertex-pull,766066,vertex-push,419021,vertex-push-warp,2129590
rw 50,edge-list,3842800,rev-edge-list,4291560,vertex-pull,10181200,vertex-push,3401520,vertex-push-warp,19734700
rw 30,edge-list,1939870,rev-edge-list,2106930,vertex-pull,5342670,vertex-push,2074430,vertex-push-warp,11885600
rw 15,edge-list,894582,rev-edge-list,948093,vertex-pull,2432760,vertex-push,1078210,vertex-push-warp,5984760
rw 05,edge-list,331387,rev-edge-list,345820,vertex-pull,802045,vertex-push,413570,vertex-push-warp,2135110
,,,,,,,,,,
com-orkut.ungraph.txt,1,,2,,3,,4,,5,
graph,edge-list,1735700000,rev-edge-list,1955570000,vertex-pull,1032690000,vertex-push,432878000,vertex-push-warp,320916000
ff 50,edge-list,93819600,rev-edge-list,101072000,vertex-pull,107287000,vertex-push,86224600,vertex-push-warp,67476200
ff 30,edge-list,31162900,rev-edge-list,33421400,vertex-pull,43215000,vertex-push,67690200,vertex-push-warp,33703200
ff 15,edge-list,10257900,rev-edge-list,10719000,vertex-pull,31392200,vertex-push,42941700,vertex-push-warp,16443600
ff 05,edge-list,2133810,rev-edge-list,2186390,vertex-pull,33470600,vertex-push,33785100,vertex-push-warp,6186530
re 50,edge-list,109524000,rev-edge-list,125082000,vertex-pull,125762000,vertex-push,57081800,vertex-push-warp,287407000
re 30,edge-list,85087000,rev-edge-list,92591200,vertex-pull,121412000,vertex-push,57743500,vertex-push-warp,304959000
re 15,edge-list,2276590,rev-edge-list,2343040,vertex-pull,4450380,vertex-push,1812380,vertex-push-warp,10019400
re 05,edge-list,564970,rev-edge-list,579077,vertex-pull,1054870,vertex-push,553808,vertex-push-warp,2704840
rw 50,edge-list,119449000,rev-edge-list,130733000,vertex-pull,103073000,vertex-push,48440500,vertex-push-warp,235054000
rw 30,edge-list,80270600,rev-edge-list,83835100,vertex-pull,83231100,vertex-push,39115900,vertex-push-warp,200090000
rw 15,edge-list,65525200,rev-edge-list,66199100,vertex-pull,73666200,vertex-push,37150600,vertex-push-warp,190676000
