bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
,,,,,,,,,,
cit-Patents,edge-list,51608600,rev-edge-list,49708600,vertex-pull,23133100,vertex-push,15952900,vertex-push-warp,88693700
ff 50,edge-list,13475200,rev-edge-list,12984400,vertex-pull,7388560,vertex-push,7325130,vertex-push-warp,40637400
ff 30,edge-list,7619360,rev-edge-list,7333430,vertex-pull,4823770,vertex-push,4675360,vertex-push-warp,25842800
ff 15,edge-list,3649500,rev-edge-list,3657100,vertex-pull,2669080,vertex-push,2868450,vertex-push-warp,13263000
ff 05,edge-list,1321850,rev-edge-list,1306980,vertex-pull,980215,vertex-push,1030900,vertex-push-warp,5021320
re 50,edge-list,6057600,rev-edge-list,5807850,vertex-pull,6692110,vertex-push,8037700,vertex-push-warp,44671900
re 30,edge-list,2807170,rev-edge-list,2677840,vertex-pull,3902550,vertex-push,4866660,vertex-push-warp,26976000
re 15,edge-list,1272240,rev-edge-list,1207410,vertex-pull,2017990,vertex-push,2514100,vertex-push-warp,13826400
re 05,edge-list,507163,rev-edge-list,482608,vertex-pull,737471,vertex-push,868122,vertex-push-warp,4678620
rw 50,edge-list,6760870,rev-edge-list,6483890,vertex-pull,6856100,vertex-push,8047100,vertex-push-warp,44659300
rw 30,edge-list,3404940,rev-edge-list,3275070,vertex-pull,4003830,vertex-push,4871350,vertex-push-warp,26963600
rw 15,edge-list,1607100,rev-edge-list,1542380,vertex-pull,2063300,vertex-push,2506340,vertex-push-warp,13827400
rw 05,edge-list,537065,rev-edge-list,525878,vertex-pull,748400,vertex-push,861714,vertex-push-warp,4692580
,,,,,,,,,,
com-orkut,edge-list,2928860000,rev-edge-list,2846930000,vertex-pull,390179000,vertex-push,466670000,vertex-push-warp,414589000
ff 50,edge-list,157433000,rev-edge-list,152412000,vertex-pull,80937200,vertex-push,98030800,vertex-push-warp,121927000
ff 30,edge-list,52128200,rev-edge-list,50270200,vertex-pull,39583500,vertex-push,70589400,vertex-push-warp,61041400
ff 15,edge-list,17336200,rev-edge-list,16655000,vertex-pull,32344400,vertex-push,50147600,vertex-push-warp,30388700
ff 05,edge-list,3661540,rev-edge-list,3487140,vertex-pull,34928300,vertex-push,39163100,vertex-push-warp,10986500
re 50,edge-list,188895000,rev-edge-list,185792000,vertex-pull,92353000,vertex-push,120232000,vertex-push-warp,622175000
re 30,edge-list,148753000,rev-edge-list,145668000,vertex-pull,99758400,vertex-push,127649000,vertex-push-warp,680379000
re 15,edge-list,4097140,rev-edge-list,4003090,vertex-pull,3415440,vertex-push,3984570,vertex-push-warp,22155800
re 05,edge-list,1025110,rev-edge-list,1017920,vertex-pull,1050140,vertex-push,1111410,vertex-push-warp,5957690
rw 50,edge-list,206282000,rev-edge-list,201375000,vertex-pull,73222500,vertex-push,98845100,vertex-push-warp,500854000
rw 30,edge-list,139807000,rev-edge-list,136206000,vertex-pull,62357600,vertex-push,82709600,vertex-push-warp,433230000
rw 15,edge-list,115228000,rev-edge-list,111836000,vertex-pull,59198600,vertex-push,76064800,vertex-push-warp,406523000
rw 05,edge-list,4745310,rev-edge-list,4578900,vertex-pull,3154120,vertex-push,3308700,vertex-push-warp,17893300
,,,,,,,,,,
email-EuAll,edge-list,6186600,rev-edge-list,5961970,vertex-pull,26928100,vertex-push,7269370,vertex-push-warp,26719900
ff 50,edge-list,3247930,rev-edge-list,3140840,vertex-pull,8604400,vertex-push,4658320,vertex-push-warp,13301100
ff 30,edge-list,2262790,rev-edge-list,2173480,vertex-pull,4650990,vertex-push,4231710,vertex-push-warp,7788460
ff 15,edge-list,2090510,rev-edge-list,2030780,vertex-pull,1616880,vertex-push,3931780,vertex-push-warp,5354990
ff 05,edge-list,361078,rev-edge-list,351327,vertex-pull,408338,vertex-push,2594300,vertex-push-warp,1641780
re 50,edge-list,3107700,rev-edge-list,3012630,vertex-pull,29345800,vertex-push,4199630,vertex-push-warp,16021500
re 30,edge-list,1748020,rev-edge-list,1692050,vertex-pull,16116800,vertex-push,2746720,vertex-push-warp,10323400
re 15,edge-list,920066,rev-edge-list,889707,vertex-pull,7559500,vertex-push,1547770,vertex-push-warp,5299530
re 05,edge-list,1037470,rev-edge-list,966337,vertex-pull,4465760,vertex-push,1550030,vertex-push-warp,4207470
rw 50,edge-list,3434920,rev-edge-list,3314520,vertex-pull,12727700,vertex-push,5907770,vertex-push-warp,14598400
rw 30,edge-list,537658,rev-edge-list,511592,vertex-pull,3264480,vertex-push,426281,vertex-push-warp,2216400
rw 15,edge-list,1784000,rev-edge-list,1735110,vertex-pull,6967760,vertex-push,2449340,vertex-push-warp,6190680
rw 05,edge-list,816494,rev-edge-list,792284,vertex-pull,3105000,vertex-push,1445260,vertex-push-warp,3114110
,,,,,,,,,,
dbpedia-link,edge-list,10210300000,rev-edge-list,9995700000,vertex-pull,2896880000,vertex-push,2541250000,vertex-push-warp,10495600000
ff 50,edge-list,1420180000,rev-edge-list,1389020000,vertex-pull,980054000,vertex-push,588622000,vertex-push-warp,1277220000
ff 30,edge-list,533719000,rev-edge-list,522136000,vertex-pull,222758000,vertex-push,279960000,vertex-push-warp,628203000
ff 15,edge-list,165479000,rev-edge-list,161694000,vertex-pull,72987900,vertex-push,120530000,vertex-push-warp,281495000
ff 05,edge-list,37481300,rev-edge-list,36496900,vertex-pull,18561600,vertex-push,31290700,vertex-push-warp,94954200
re 50,edge-list,1546190000,rev-edge-list,1517810000,vertex-pull,746526000,vertex-push,594672000,vertex-push-warp,2440800000
re 30,edge-list,560122000,rev-edge-list,549836000,vertex-pull,405959000,vertex-push,321651000,vertex-push-warp,1585110000
re 15,edge-list,226688000,rev-edge-list,221850000,vertex-pull,257351000,vertex-push,225881000,vertex-push-warp,1240590000
re 05,edge-list,5254560,rev-edge-list,5109660,vertex-pull,13329000,vertex-push,7877480,vertex-push-warp,43892300
rw 50,edge-list,640452000,rev-edge-list,628642000,vertex-pull,398259000,vertex-push,347858000,vertex-push-warp,1761400000
rw 30,edge-list,373514000,rev-edge-list,366793000,vertex-pull,266182000,vertex-push,250016000,vertex-push-warp,1314510000
rw 15,edge-list,158651000,rev-edge-list,155841000,vertex-pull,130224000,vertex-push,129641000,vertex-push-warp,690474000
rw 05,edge-list,8251090,rev-edge-list,8062790,vertex-pull,14906100,vertex-push,7880860,vertex-push-warp,43697600
,,,,,,,,,,
livejournal-links,edge-list,2298950000,rev-edge-list,2254170000,vertex-pull,227281000,vertex-push,356841000,vertex-push-warp,990235000
ff 50,edge-list,311315000,rev-edge-list,305755000,vertex-pull,64933900,vertex-push,94591200,vertex-push-warp,238448000
ff 30,edge-list,125739000,rev-edge-list,122937000,vertex-pull,51458200,vertex-push,67774800,vertex-push-warp,140590000
ff 15,edge-list,129271000,rev-edge-list,126401000,vertex-pull,32706500,vertex-push,57806400,vertex-push-warp,62939000
ff 05,edge-list,7601220,rev-edge-list,7343860,vertex-pull,14882300,vertex-push,27287400,vertex-push-warp,17920600
re 50,edge-list,411211000,rev-edge-list,403407000,vertex-pull,133038000,vertex-push,181905000,vertex-push-warp,873646000
