pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
cit-Patents.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,210246000,struct-edge-list,209262000,vertex-pull,425862000,vertex-pull-nodiv,179229000,vertex-pull-warp,828873000,vertex-pull-warp-nodiv,666372000,vertex-push,278500000,vertex-push-warp,488393000
ff 50,edge-list,52308300,struct-edge-list,52040800,vertex-pull,100147000,vertex-pull-nodiv,44750300,vertex-pull-warp,367915000,vertex-pull-warp-nodiv,301738000,vertex-push,72890800,vertex-push-warp,208567000
ff 30,edge-list,27451400,struct-edge-list,27233900,vertex-pull,54707300,vertex-pull-nodiv,24916800,vertex-pull-warp,235689000,vertex-pull-warp-nodiv,192546000,vertex-push,39791300,vertex-push-warp,130854000
ff 15,edge-list,12076900,struct-edge-list,11955100,vertex-pull,24059500,vertex-pull-nodiv,11246800,vertex-pull-warp,120934000,vertex-pull-warp-nodiv,98764300,vertex-push,19033400,vertex-push-warp,66685000
ff 05,edge-list,3985160,struct-edge-list,3923970,vertex-pull,7340960,vertex-pull-nodiv,3718160,vertex-pull-warp,42982700,vertex-pull-warp-nodiv,34742600,vertex-push,7771320,vertex-push-warp,23871900
re 50,edge-list,32113900,struct-edge-list,31974000,vertex-pull,50430400,vertex-pull-nodiv,27303200,vertex-pull-warp,333669000,vertex-pull-warp-nodiv,297307000,vertex-push,41040700,vertex-push-warp,220881000
re 30,edge-list,15744500,struct-edge-list,15648200,vertex-pull,23016300,vertex-pull-nodiv,13803700,vertex-pull-warp,193414000,vertex-pull-warp-nodiv,176091000,vertex-push,20027600,vertex-push-warp,132259000
re 15,edge-list,7352260,struct-edge-list,7306320,vertex-pull,9775590,vertex-pull-nodiv,6375140,vertex-pull-warp,95285100,vertex-pull-warp-nodiv,87752700,vertex-push,9027390,vertex-push-warp,66132700
re 05,edge-list,2646680,struct-edge-list,2632510,vertex-pull,3242710,vertex-pull-nodiv,2300820,vertex-pull-warp,32992200,vertex-pull-warp-nodiv,30511100,vertex-push,3075310,vertex-push-warp,23207300
rw 50,edge-list,35827000,struct-edge-list,35639400,vertex-pull,58967800,vertex-pull-nodiv,30453200,vertex-pull-warp,341211000,vertex-pull-warp-nodiv,300841000,vertex-push,39234500,vertex-push-warp,222085000
rw 30,edge-list,18454200,struct-edge-list,18322600,vertex-pull,28617100,vertex-pull-nodiv,15752300,vertex-pull-warp,203147000,vertex-pull-warp-nodiv,180451000,vertex-push,20471400,vertex-push-warp,133300000
rw 15,edge-list,8526430,struct-edge-list,8452370,vertex-pull,12020300,vertex-pull-nodiv,7117560,vertex-pull-warp,101642000,vertex-pull-warp-nodiv,90348200,vertex-push,9466590,vertex-push-warp,66628600
rw 05,edge-list,2979560,struct-edge-list,2951760,vertex-pull,3718580,vertex-pull-nodiv,2417340,vertex-pull-warp,35018700,vertex-pull-warp-nodiv,31253900,vertex-push,3246200,vertex-push-warp,23217500
,,,,,,,,,,,,,,,,
com-orkut.ungraph.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,1839770000,struct-edge-list,1829060000,vertex-pull,5329890000,vertex-pull-nodiv,2298510000,vertex-pull-warp,3185060000,vertex-pull-warp-nodiv,1482720000,vertex-push,3481230000,vertex-push-warp,2140290000
ff 50,edge-list,117994000,struct-edge-list,116105000,vertex-pull,862422000,vertex-pull-nodiv,334262000,vertex-pull-warp,469330000,vertex-pull-warp-nodiv,322967000,vertex-push,488286000,vertex-push-warp,257731000
ff 30,edge-list,51209400,struct-edge-list,50486500,vertex-pull,667014000,vertex-pull-nodiv,256271000,vertex-pull-warp,269334000,vertex-pull-warp-nodiv,190896000,vertex-push,364599000,vertex-push-warp,144997000
ff 15,edge-list,17822600,struct-edge-list,17502000,vertex-pull,420237000,vertex-pull-nodiv,153424000,vertex-pull-warp,113577000,vertex-pull-warp-nodiv,86601100,vertex-push,222800000,vertex-push-warp,60769100
