pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
cit-Patents.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,173278000,struct-edge-list,174466000,vertex-pull,377442000,vertex-pull-nodiv,139950000,vertex-pull-warp,649446000,vertex-pull-warp-nodiv,494467000,vertex-push,196821000,vertex-push-warp,522281000
ff 50,edge-list,40237100,struct-edge-list,40492700,vertex-pull,91509200,vertex-pull-nodiv,43400200,vertex-pull-warp,293567000,vertex-pull-warp-nodiv,225873000,vertex-push,52392500,vertex-push-warp,235331000
ff 30,edge-list,20483300,struct-edge-list,20525500,vertex-pull,50542400,vertex-pull-nodiv,25698300,vertex-pull-warp,186566000,vertex-pull-warp-nodiv,144058000,vertex-push,28696000,vertex-push-warp,149409000
ff 15,edge-list,9846680,struct-edge-list,9866840,vertex-pull,22482000,vertex-pull-nodiv,12575100,vertex-pull-warp,95586600,vertex-pull-warp-nodiv,74032100,vertex-push,14978000,vertex-push-warp,76689500
ff 05,edge-list,4190350,struct-edge-list,4130510,vertex-pull,7833940,vertex-pull-nodiv,4755010,vertex-pull-warp,33593400,vertex-pull-warp-nodiv,25850800,vertex-push,7345440,vertex-push-warp,26654900
re 50,edge-list,30660100,struct-edge-list,30961200,vertex-pull,52545900,vertex-pull-nodiv,37207600,vertex-pull-warp,294899000,vertex-pull-warp-nodiv,239698000,vertex-push,35225500,vertex-push-warp,255225000
re 30,edge-list,16182500,struct-edge-list,16341700,vertex-pull,25453500,vertex-pull-nodiv,21101900,vertex-pull-warp,173511000,vertex-pull-warp-nodiv,142712000,vertex-push,19044800,vertex-push-warp,152822000
re 15,edge-list,8091060,struct-edge-list,8148710,vertex-pull,11385100,vertex-pull-nodiv,10622100,vertex-pull-warp,86827300,vertex-pull-warp-nodiv,73100600,vertex-push,9289510,vertex-push-warp,78532300
re 05,edge-list,2957440,struct-edge-list,2968260,vertex-pull,3693650,vertex-pull-nodiv,3648640,vertex-pull-warp,29164400,vertex-pull-warp-nodiv,24486400,vertex-push,3223350,vertex-push-warp,26450900
rw 50,edge-list,32128900,struct-edge-list,32450300,vertex-pull,58719700,vertex-pull-nodiv,38557300,vertex-pull-warp,298299000,vertex-pull-warp-nodiv,240890000,vertex-push,34015000,vertex-push-warp,257217000
rw 30,edge-list,17059300,struct-edge-list,17206800,vertex-pull,29144300,vertex-pull-nodiv,21833900,vertex-pull-warp,179442000,vertex-pull-warp-nodiv,144780000,vertex-push,18388200,vertex-push-warp,154499000
rw 15,edge-list,8320130,struct-edge-list,8415980,vertex-pull,12744800,vertex-pull-nodiv,10856200,vertex-pull-warp,91774700,vertex-pull-warp-nodiv,74686100,vertex-push,9100820,vertex-push-warp,79609100
rw 05,edge-list,3015700,struct-edge-list,3039760,vertex-pull,3893760,vertex-pull-nodiv,3698800,vertex-pull-warp,30958900,vertex-pull-warp-nodiv,25056800,vertex-push,3230910,vertex-push-warp,26787500
,,,,,,,,,,,,,,,,
com-orkut.ungraph.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,1036920000,struct-edge-list,1036140000,vertex-pull,3901270000,vertex-pull-nodiv,1078960000,vertex-pull-warp,1797190000,vertex-pull-warp-nodiv,776740000,vertex-push,1789990000,vertex-push-warp,1354700000
ff 50,edge-list,68664900,struct-edge-list,68145000,vertex-pull,712294000,vertex-pull-nodiv,278483000,vertex-pull-warp,319097000,vertex-pull-warp-nodiv,219358000,vertex-push,376074000,vertex-push-warp,235339000
ff 30,edge-list,33799800,struct-edge-list,33716900,vertex-pull,563020000,vertex-pull-nodiv,231337000,vertex-pull-warp,189551000,vertex-pull-warp-nodiv,131674000,vertex-push,319293000,vertex-push-warp,140055000
