file,graph,ff 05,ff 15,ff 30,ff 50,re 05,re 15,re 30,re 50,rw 05,rw 15,rw 30,rw 50
actor-collaboration.edges,actor-collaboration,335913686,3215899299,7437388016,11738312740,72242110,140645077,270274582,595277019,2015836443,6492307840,16358987390,34871515054
arenas-jazz.edges,arenas-jazz,87986,278956,474671,1998096,118065,172129,264758,446696,351510,1268300,2619874,4914797
as-caida20071105.edges,as-caida20071105,5690903,20419091,41251026,69908168,8172557,14360965,24598907,48808321,202751548,652275898,1387802990,2727146283
as-skitter.edges,as-skitter,285859264,1132236345,5627395812,13504080110,426941654,870789376,1493540346,3415880215,22912825122,83398944402,199308017581,420267008117
ca-AstroPh.edges,ca-AstroPh,3777274,19779157,47021515,145362086,6625086,10597489,17821195,32486492,29439455,86806747,200193231,376278118
ca-cit-HepPh.edges,ca-cit-HepPh,6010341,24221483,69399605,187095382,4746612,9458137,17895625,36734819,241084152,823125813,1916627747,4377341809
ca-cit-HepTh.edges,ca-cit-HepTh,3834506,11246264,34686347,257717465,3980587,8919243,15451956,36029251,211533574,847386888,1948986700,4615450590
cfinder-google.edges,cfinder-google,8871690,14579883,35037094,115985504,3580499,8144204,11393833,23965456,15774541,53999096,129697196,301011284
chess.edges,chess,3207723,5959499,15294503,38655884,2304819,4676476,8250711,14732328,5067151,13489230,31050841,67187872
cit-Patents.txt,cit-Patents,1452025720,3512839628,7104810098,12076761833,1118945008,1630487142,2782195171,5247863692,1633276853,3819918968,8107879919,17316699555
com-amazon.edges,com-amazon,114226220,335915397,688897109,1335173435,92657147,110989194,188012746,383737664,199427707,536966933,1108362707,2218241642
com-amazon.ungraph.txt,com-amazon.ungraph,180684535,373999394,655690381,1328474194,109258745,197331418,231183382,387027615,233862771,415343580,850743455,1766768977
com-dblp.edges,com-dblp,137649492,307368203,616884749,1280589933,63139391,98053971,181219568,371083294,221251720,691147250,1473614813,3018595172
com-dblp.ungraph.txt,com-dblp.ungraph,153306237,350935200,697544228,1301896794,95013266,135950184,202683731,397342922,212626285,643541763,1046388740,2075271475
com-lj.ungraph.txt,com-lj,1502805183,6099598314,18515984167,42967689532,677919670,1787805468,3911697944,9507893910,4197167118,13192454972,31959761713,77838846305
com-orkut.ungraph.txt,com-orkut,895697277,3407694441,11023470901,24581232919,612442776,1310940647,2439041255,4983658778,7847094674,25185362164,59848462127,124829539861
com-youtube.edges,com-youtube,211363362,983410560,2602232472,5529998939,223168506,567663885,1054529034,2472929581,10022944352,36348014781,89190194551,196575771494
com-youtube.ungraph.txt,com-youtube.ungraph,404614099,1011799998,2869038261,5582902055,270710032,613403885,1088662359,2476457443,5351401074,18563738786,46173397187,100477521395
contiguous-usa.edges,contiguous-usa,43544,126391,223902,300188,40856,43041,95237,128754,70302,128155,427773,588018
dblp_coauthor.edges,dblp_coauthor,514372926,1440194517,3446080248,7266108094,299182958,635573494,954612628,2112576330,1325062231,4229899757,8838599759,19555577330
digg-friends.edges,digg-friends,143740091,351439628,1165458810,1779800059,64980963,151725666,356047810,886466691,269642552,813036830,2167966660,7300437721
dolphins.edges,dolphins,83669,107575,183928,367713,34711,66240,110461,163955,92649,206766,428079,755312
